Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Effects of Mental Health Paraprofessional Training for Filipina Foreign Domestic Workers in Singapore,"Wong, M.H.M.; Keng, Shian-Ling; Buck, P.J.; Suthendran, S.; Wessels, A.; Ostbye, T. ","Research has found that 24% of foreign domestic workers (FDWs) in Singapore have poor mental health (24%), with depressive symptoms being identified as the second most severe psychological symptoms [1]. The study assessed the acceptability and effectiveness of a 4-week cognitive behavioral therapy (CBT)-based paraprofessional training program for FDWs in Singapore on depression literacy and CBT knowledge (primary outcomes), depression-related stigma, as well as attitudes towards seeking professional help (secondary outcomes) immediately and 2 months following the training. Forty female Filipino FDWs were recruited and randomized into either a CBT-based paraprofessional training program or wait-list (WL) group. Participants completed outcome measures before, after, and 2 months following their training. No significant difference was found on changes on any of the outcome variables in the intervention group as compared to the WL group. Following training, both groups showed significantly improved depression literacy, CBT knowledge, and attitudes towards seeking professional help. These changes were sustained at 2-month follow-up. All participants indicated a high level of satisfaction with the training program. While findings from between-group analyses do not support the efficacy of the CBT-based paraprofessional training program in improving depression literacy and related outcomes, participation in the program was associated with improvements in several outcomes within the training group. Future research should explore adaptations to the program (e.g., in terms of training duration and modes of delivery) that would increase its efficacy in improving depression literacy and CBT knowledge among FDWs.",2020,/,Journal of immigrant and minority health,22,3,571-579,,https://dx.doi.org/10.1007/s10903-019-00907-4,628259667,#105,Wong 2020,Exclusion reason: Wrong outcomes; ,""
Syrian refugees in Turkey: Numbers and emotions,"Doner, Pinar; Ozkara, Adem; Kahveci, Rabia ",,2013,/,The Lancet,382,9894,764,,https://dx.doi.org/10.1016/S0140-6736%2813%2961823-1,369667601,#116,Doner 2013,Exclusion reason: No full text; ,""
"Fostering refugee and other migrant resilience through empowerment, pluralism, and collaboration in mental health","Kassam, Azaad; Magwood, Olivia; Pottie, Kevin ",,2020,/,International Journal of Environmental Research and Public Health,17,24,1-3,,https://dx.doi.org/10.3390/ijerph17249557,2005678496,#126,Kassam 2020,Exclusion reason: Wrong intervention; ,""
Precarious employment and migrant workers' mental health: A protocol for a systematic review of observational studies,"Weinmann, Tobias; Waibel, Julia; Radon, Katja; Koseoglu Ornek, Ozlem ","Background: Precarious employment has become an urgent public health issue at a global scale with potential consequences for quality of life and health of employees, especially in vulnerable groups such as migrants. The primary aim of this systematic review is thus to analyze and summarize existing research on the association between precarious employment and migrant workers' mental health. Method(s): We will search PubMed/MEDLINE, PsycINFO, Web of Science (from January 1970 onwards) for original articles on observational studies (e.g., cohort, case-control and cross-sectional, and qualitative) published in English, German, Turkish, and Spanish. The primary outcome will be depression and anxiety disorders. Secondary outcomes will be burnout, sleeping problems, and occupational stress. Two reviewers will independently screen all citations, full-text articles, and abstract data. Potential conflicts will be resolved through discussion. The methodological quality (or risk of bias) of individual studies will be appraised using an appropriate tool. A narrative synthesis will summarize and explain the characteristics and findings of the studies. If feasible, we will conduct random effects meta-analyses where appropriate. Discussion(s): This systematic review will analyze the ways in which precarious employment affects migrant workers' mental health and the process that underlies this relationship. The results from the systematic review outlined in this protocol will be of interest to labor and health professionals, policy makers, labor unions, and non-governmental organizations. Our findings may encourage and impel related policy makers to establish human-focused, safe and healthy work environments, and workplace conditions. Systematic review registration: PROSPERO, CRD42019132560Copyright © 2020 The Author(s).",2020,/,Systematic Reviews,9,1,50,,http://dx.doi.org/10.1186/s13643-020-01313-w,631125312,#142,Weinmann 2020,Exclusion reason: Wrong outcomes; ,""
"Gender norms, discrimination, acculturation, and depressive symptoms among latino men in a new settlement state","Erausquin, Jennifer Toller; Song, Eunyoung; Rhodes, Scott D. ","Purpose: Drawing from major theoretical and conceptual frameworks on minority men's mental health, we designed the current observational study to assess the associations of gender norms, discrimination, and acculturation with clinically significant depressive symptoms (CESD>=16) among a sample of immigrant Latino men in North Carolina. Method(s): We used data from a baseline survey of men (n=111) recruited for a peer-led health intervention. To assess the associations with depressive symptoms, we performed descriptive and bivariate analyses, followed by multiple logistic regression. Result(s): Men in the sample tended to be young (mean age 18.5 years), recent immigrants (70.3% immigrated after age 16), and to have incomplete high school education (76.5%). About half (51.4%) reported experiencing discrimination due to their ethnicity and more than a third (37.8%) reported experiencing discrimination due to their race. Using the short form Conformity to Masculine Norms instrument, their mean masculinity score was 52.0; their average 12-item Short Acculturation Scale for Latinos score was 21.8. More than one-quarter of participants (26.1%) had clinically significant depressive symptoms. Multiple logistic regression models showed among this sample of immigrant Latino men in the Southeast, traditional masculine norms-but not perceived discrimination nor acculturation-were associated with clinically significant depressive symptoms. Conclusion(s): Our results suggest a potential future avenue for intervention research: testing whether changing gender norms could result in improvements to mental health.Copyright © 2020 Ethnicity and Disease, Inc.. All rights reserved.",2020,/,Ethnicity and Disease,30,4,519-524,,http://dx.doi.org/10.18865/ED.30.4.519,2008342012,#149,Erausquin 2020,Exclusion reason: Wrong outcomes; ,""
A comparison of the characteristics and treatment outcomes of migrant and Australian-born users of a national digital mental health service,"Nielssen, Olav; Kayrouz, Rony; Karin, Eyal; Staples, Lauren G.; Dear, Blake F.; Titov, Nickolai ","Background: To explore the characteristics and compare clinical outcomes of non-Australian born (migrant) and Australian-born users of an Australian national digital mental health service. Method(s): The characteristics and treatment outcomes of patients who completed online treatment at the MindSpot Clinic between January 2014 and December 2016 and reported a country of birth other than Australia were compared to Australian-born users. Data about the main language spoken at home were used to create distinct groups. Changes in symptoms of depression and anxiety were measured using the Patient Health Questionnaire-9 Item (PHQ-9), and Generalized Anxiety Disorder Scale - 7 Item (GAD-7), respectively. Result(s): Of 52,020 people who started assessment at MindSpot between 1st January 2014 and 22nd December 2016, 45,082 reported a country of birth, of whom 78.6% (n = 35,240) were Australian-born, and 21.4% (n = 9842) were born overseas. Of 6782 people who completed the online treatment and reported country of birth and main language spoken at home, 1631 (24%) were migrants, 960 (59%) were from English-speaking countries, and 671 (41%) were from non-English speaking countries. Treatment-seeking migrant users reported higher rates of tertiary education than Australian-born users. The baseline symptom severity, and rates of symptom reduction and remission following online treatment were similar across groups. Conclusion(s): Online treatment was associated with significant reductions in anxiety and depression in migrants of both English speaking and non-English speaking backgrounds, with outcomes similar to those obtained by Australian-born patients. DMHS have considerable potential to help reduce barriers to mental health care for migrants.Copyright © 2020 The Author(s).",2020,/,BMC Psychiatry,20,1,111,,http://dx.doi.org/10.1186/s12888-020-02486-3,632408753,#158,Nielssen 2020,Exclusion reason: Wrong patient population; ,""
A comparative study of domestic decisionmaking power and social support as predictors of postpartum depressive and physical symptoms between immigrant and native-born women,"Chen, Hung-Hui; Chien, Li-Yin ","Background Women's participation in decision-making in the household is an indicator of women's empowerment. Few studies have compared domestic decision-making power and its effect on postpartum health between immigrant and native-born women. This study aimed to examine the effect of domestic decision-making power and social support during pregnancy on predicting postpartum depressive and physical symptoms among immigrant and nativeborn mothers in Taiwan. Methods and findings This prospective study recruited 177 marriage-based immigrant mothers and 230 nativeborn women who were at least twelve weeks pregnant from hospitals, clinics and health centers. Data were collected in the 2nd or 3rd trimester of pregnancy and at 3 months postpartum from March 2013 to March 2015. Postpartum depression and the severity of postpartum physical symptoms were measured using the Edinburgh Postnatal Depression Scale, and a 17-item, 4-point Likert scale, respectively. Linear regression was used to examine the relationship between ""domestic decision-making power and social support during pregnancy"" and ""depressive and physical symptoms at 3 months postpartum."" Women who had lower domestic decision-making power and social support during pregnancy had higher postpartum depressive and physical symptoms. Those women with full-time employment and insufficient family income had higher postpartum depressive symptoms. Though immigrant women scored lower in domestic decision-making power and social support than native-born women, they had lower mean scores in postpartum depressive and physical symptoms. After accounting for the abovementioned factors, immigrant women remained at lower risk for postpartum depressive and physical symptoms than native-born women. There was significant interaction between domestic decision-making power and immigrant status, suggesting that the association between domestic decision-making and postpartum depressive and physical symptoms was smaller for immigrants than for native women. Conclusions Domestic decision-making power and social support during pregnancy are protective predictors of postpartum depressive and physical symptoms. However, the effect of domestic decision-making power appeared to be less salient for immigrants, probably due to the ""healthy immigrant effect"" and/or lower expectations toward domestic decision-making power among immigrants. The finding that immigrant women demonstrated a lower level of domestic decision-making power suggests that empowerment issues need to be addressed among immigrants.Copyright © 2020 Chen, Chien. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2020,/,PLoS ONE,15,4,e0231340,,http://dx.doi.org/10.1371/journal.pone.0231340,2005546332,#164,Chen 2020,Exclusion reason: Wrong intervention; ,""
Enhancing patient safety and access to care to populations at risk of exclusion: The example of the Portuguese-speaking migrant community in South London,"Figueiredo, Cristiano; da Silva, Paula Maia; Sharma, Vikesh; Neves, Ana Luisa ",,2020,/,Acta Medica Portuguesa,33,3,158-160,,http://dx.doi.org/10.20344/amp.12196,2005159857,#167,Figueiredo 2020,Exclusion reason: Wrong intervention; ,""
Process- and outcome evaluation of an orientation programme for refugee health professionals,"Khan-Gokkaya, Sidra; Mosko, Mike ","BACKGROUND: Refugee health professionals experience several barriers on their path to re-entering their original occupations in host countries. Several training programmes exist in order to address these barriers and enable a successful labour market integration. Objective(s): This study aims to evaluate a specific orientation programme for the labour market integration of refugee health professionals in Germany. The programme lasts three months and comprises three elements (German technical terminology language course, cross-cultural coaching and a job shadowing). Design(s): A mixed-methods design was implemented to evaluate the programme. To assess participants' skills improvement and satisfaction, self-developed questionnaires were used. For in-depth-evaluation of individual experiences, qualitative interviews were conducted at four time points (pre, half-time, post, follow-up) with both programme participants and programme providers about their experiences. Result(s): Participants described impacts on their personal situation and improvement of their language, professional and formal skills. Some participants also described negative effects mostly due to unsupervised shadowing. Additional barriers, such as cost of travel were identified as challenges for participation. Conclusion(s): Training programmes may affect language skills, professional skills and formal resources. However, programme providers need to anticipate negative effects and introduce actions for preventing negative outcomes. Moreover, programmes should be designed to reduce work-related fear and anxiety amongst participants.",2020,/,Medical education online,25,1,1811543,,http://dx.doi.org/10.1080/10872981.2020.1811543,632690717,#170,Khan-Gokkaya 2020,Exclusion reason: Wrong outcomes; ,Excluded but relevant
"Work life, relationship, and policy determinants of health and well-being among Filipino domestic Workers in China: a qualitative study","Hall, Brian J.; Latkin, Carl A.; Garabiles, Melissa R. ","BACKGROUND: Overseas Filipino workers (OFWs) comprise one of the largest populations of migrant workers globally. Within China, they represent the largest group of imported domestic workers. Little is known about their working conditions or how this might affect their health and wellbeing. METHOD(S): This qualitative study explored the working conditions and risk factors for poor health in a sample of temporary female Filipino domestic workers in Macao, China. Focus group discussions with female domestic workers (n=22) and in-depth interviews with key informants (n=7) were conducted. RESULT(S): Domestic workers reported physical (e.g., hypertension, chronic pain, diabetes, poor sleep), and mental health problems (depression, anxiety), and addictive behaviors (gambling, alcohol misuse), along with significant structural, linguistic, financial, and cultural barriers to healthcare access to address these concerns. Adverse working conditions including poor treatment and abuse by employers, lack of privacy and inadequate sleeping areas in employers' homes or in crowded boarding houses, language barriers, inadequate and poor enforcement of labor protections, and discrimination. Domestic workers also cited exorbitant agency fees and remittances causing significant financial stress. Kinship network ties with family members back home were fraught with infidelity, difficulty parenting, misuse of remittances, and family misconceptions of domestic workers' situation abroad. Lack of quality social support and peer social networks exacerbated these conditions. CONCLUSION(S): In this sample of Filipino migrant domestic workers, stressors experienced within the host country were commonly reported. Indebtedness and low salaries limits social mobility. Psychosocial and policy-level interventions are needed to improve the health and wellbeing of this population of migrant women.",2019,/,BMC public health,19,1,229,,http://dx.doi.org/10.1186/s12889-019-6552-4,626527747,#183,Hall 2019,Exclusion reason: Wrong intervention; ,""
43.3 ENGAGING IMMIGRANT LATINA MOTHERS IN MENTAL HEALTH PROMOTION IN PEDIATRIC PRIMARY CARE AND EARLY CHILDHOOD EDUCATION SETTINGS,"Platt, Rheanna; Polk, Sarah ","Objectives: Postpartum depression can have far-reaching effects on family and child mental health and functioning. Immigrant Latinas are at elevated risk for postpartum depression but are less likely to receive treatment. New models of care are needed to engage this population more effectively. We explored 2 avenues to promote engagement of immigrant Latina mothers in mental health care (including preventive interventions): group pediatric well-child visits and service provision within early childhood education centers. Method(s): We interviewed 9 providers and participants (N = 6/14) in group well-child visits and observed 7 Spanish-language cohorts at the 1-, 2-, 4-, and 6-month visits. We also conducted interviews with 14 mothers at an ""Early Childhood Learning Hub"" without maternal mental health programming. Interviews focused on feasibility and acceptability of addressing maternal mental health in these settings as well as recommendations for engaging families. Observations focused on strategies used to discuss psychosocial topics such as postpartum depression. Thematic analysis of observations and interviews was conducted. Result(s): Within group well-child care, providers perceived a unique benefit to peer testimony as well as to a group discussion contextualizing the postpartum depression screening process. This was accomplished via a more culturally relevant presentation of the rationale for screening and the impact of parent mental health on child development. Discussion about maternal well-being was well-received by participants and viewed as unique to the group visit setting. In observations, providers explicitly framed their role as supporting the family in the service of the child's health and development. In Early Childhood Learning Hubs, parents described being able to better parent or support their child as a primary motivator for potential participation in a maternal mental health-focused intervention. Conclusion(s): Settings focused on child health and development/education represent a unique and important venue in which to engage mothers. Explicitly framing maternal mental health screening and intervention as being in the service of the child's health, development, or educational attainment may be an effective tool for engaging immigrant Latina mothers. PRE, FAMCopyright © 2020",2020,/,Journal of the American Academy of Child and Adolescent Psychiatry,59,10 Supplement,S332-S333,,http://dx.doi.org/10.1016/j.jaac.2020.07.802,2008337116,#191,Platt 2020,Exclusion reason: No full text; ,""
WAWA - 'What Am I Worried About': Adapting an Australian intervention for new mothers residing in the community with symptoms of anxiety and depression,"Cwikel, Julie; Sarid, Orly; Simhi, Meital; Rowe, Heather; Fisher, Jane ","Objectives/Background: Cognitive behavioural interventions have been shown to be an effective verbal therapy for post-natal mental health distress. There is a high prevalence of perinatal mood and anxiety disorder (PMAD) symptoms among new mothers in Israel, particularly in specific ethnocultural groups. TheWAWA program was developed in Australia to provide a low-cost and accessible method for reaching mothers who may not be able to come into clinics for treatment for perinatal mood and anxiety disorders. The aim of the current studywas to assess the feasibility, acceptability and safety of theWAWA among community-dwelling women in the firstmonths after the birth of a child. Method(s): A single group pre-and post-test designwas selected and women were invited to participate if theymet the criteria of: Hebrew-speaking, community-residing, over age 18, without known diagnosed psychiatric conditions and who had given birth to a childwithin the last threemonths. Respondents participated in one small group session to explain the purpose of the study and those agreeing signed informed consent. Baseline questionnaires included the General Anxiety Questionnaire (GAD), Depression Anxiety Stress Scale - DASS 21, and Edinburgh Post-natal Depression Scale (EPDS) and socio-demographic data. Participants took part, in groups of three, in an introductory session of 90 minutes. The following four sessions and a follow-up interview were conducted over the phone, individually with a MA level mental health professional who received supervision on her work. At the last session, the respondents filled out the questionnaire a second time. Result(s): Ten women participated and provided follow-up data. The sample consisted ofmarried, Jewishwomen,mean age 31.1 (s.d. 6.3 years, range 22- 42), 50%were Israeli born and 50%were immigrants, 70% reported low SES and 60% were religious. All participants had completed at least 12 years of education, average 14.1 (s.d. 2.0 years). While all participants reported that they felt they had some symptoms of PMAD, the EPDS showed that only 40% had scores of 12 and over (mean EPDS 7.8, s.d.=5.5, range 0-14).GAD scores were (mean =6.0, s.d. 4.2), DASS21 (mean=13.3, s.d. 8.4). High correlations were found between the three mental health measures (rs=0.72- 0.88) suggesting high multi-collinearity. Discussion and conclusion: These preliminary findings indicate that the WAWA intervention in Hebrew is feasible, acceptable and safe for use among Israeli women grappling with significant perinatal mood and anxiety disorders. Further research using a randomized controlled trial and a larger sample is warranted.",2020,/,Archives of Women's Mental Health,23,2,242-243,,http://dx.doi.org/10.1007/s00737-019-00953-9,632966275,#192,Cwikel 2020,Exclusion reason: No full text; ,""
'Koro and Migration': Observational study of an outbreak of Koro in a migrant population working in South India,Anonymous.,"Introduction Koro is a culture-bound syndrome, common in India, characterized by the belief that one's genitals are shrinking followed by fear of impending death. Signifcant social stressors can precipitate this syndrome in vulnerable populations. One such factor is migration which is associated with increased vulnerability to neurosis and poor coping. It has been a less studied factor in the genesis of Koro and the same has been explored in the present study. Method There was an outbreak of Koro (13 cases: M:8, F:5) among a population (n=52) from east and middle India who had migrated to the south for manual work. These cases presented in clusters to our Psychiatry outpatient department within a span of two weeks. We did an observational study to explore the socio-demographic and clinical correlates of these patients. Their perceptions and attributions to the illness were also studied. Results Most patients were married men with lower socio-economic status and no formal education. More females were however affected than earlier reported data. Most patients knew about the illness and believed that it was contagious. Death anxiety, loss of libido and insomnia were common associated complaints. Males feared loss of impotence whereas females feared of 'loss of child-bearing' abilities. The major attributing factors to the illness were migration, the stigma of working near a 'mental hospital' and sharing shelter with the affected. Pharmacotherapy and single-session cognitive behavioural therapy were used for treatment. Conclusions Our study revealed unique clinical correlates and belief-systems of patients affected with Koro. It is time we stop seeing it just as 'culture-bound syndrome' but also a social disorder caused by distortion of body-related beliefs. Migration being a signifcant environmental factor can often precipitate such culture-bound syndromes. Further mixed-method studies are warranted.",2020,/,Indian Journal of Psychiatry,62,7 Supplement 1,S107,,,631115604,#194,Anonymous 2020,Exclusion reason: Wrong outcomes; ,""
